file_name,relative_path,size_bytes,size_mb,split,table_group,depth,shard,table_role,is_sharded,table_family_id,row_count,row_group_count,column_count,has_case_id,has_target,candidate_key,candidate_key_complete,time_fields,column_name_fingerprint,schema_fingerprint,schema_json
test_applprev_1_0.parquet,parquet_files\test\test_applprev_1_0.parquet,29733,0.03,test,applprev,1,0,feature_table,True,applprev__depth_1,10,1,41,True,False,case_id + num_group1,True,approvaldate_319D | creationdate_885D | dateactivated_425D | dtlastpmt_581D | dtlastpmtallstes_3545839D | employedfrom_700D | firstnonzeroinstldate_307D,a3c2dfd68b1be169,21a7e640823bd27c,"{""actualdpd_943P"": ""double"", ""annuity_853A"": ""double"", ""approvaldate_319D"": ""string"", ""byoccupationinc_3656910L"": ""double"", ""cancelreason_3545846M"": ""string"", ""case_id"": ""int64"", ""childnum_21L"": ""double"", ""creationdate_885D"": ""string"", ""credacc_actualbalance_314A"": ""double"", ""credacc_credlmt_575A"": ""double"", ""credacc_maxhisbal_375A"": ""double"", ""credacc_minhisbal_90A"": ""double"", ""credacc_status_367L"": ""null"", ""credacc_transactions_402L"": ""double"", ""credamount_590A"": ""double"", ""credtype_587L"": ""string"", ""currdebt_94A"": ""double"", ""dateactivated_425D"": ""string"", ""district_544M"": ""string"", ""downpmt_134A"": ""double"", ""dtlastpmt_581D"": ""string"", ""dtlastpmtallstes_3545839D"": ""string"", ""education_1138M"": ""string"", ""employedfrom_700D"": ""string"", ""familystate_726L"": ""string"", ""firstnonzeroinstldate_307D"": ""string"", ""inittransactioncode_279L"": ""string"", ""isbidproduct_390L"": ""bool"", ""isdebitcard_527L"": ""null"", ""mainoccupationinc_437A"": ""double"", ""maxdpdtolerance_577P"": ""double"", ""num_group1"": ""int64"", ""outstandingdebt_522A"": ""double"", ""pmtnum_8L"": ""double"", ""postype_4733339M"": ""string"", ""profession_152M"": ""string"", ""rejectreason_755M"": ""string"", ""rejectreasonclient_4145042M"": ""string"", ""revolvingaccount_394A"": ""double"", ""status_219L"": ""string"", ""tenor_203L"": ""double""}"
test_applprev_1_1.parquet,parquet_files\test\test_applprev_1_1.parquet,30309,0.03,test,applprev,1,1,feature_table,True,applprev__depth_1,10,1,41,True,False,case_id + num_group1,True,approvaldate_319D | creationdate_885D | dateactivated_425D | dtlastpmt_581D | dtlastpmtallstes_3545839D | employedfrom_700D | firstnonzeroinstldate_307D,a3c2dfd68b1be169,84e87ad3d06c29fc,"{""actualdpd_943P"": ""double"", ""annuity_853A"": ""double"", ""approvaldate_319D"": ""string"", ""byoccupationinc_3656910L"": ""double"", ""cancelreason_3545846M"": ""string"", ""case_id"": ""int64"", ""childnum_21L"": ""double"", ""creationdate_885D"": ""string"", ""credacc_actualbalance_314A"": ""double"", ""credacc_credlmt_575A"": ""double"", ""credacc_maxhisbal_375A"": ""double"", ""credacc_minhisbal_90A"": ""double"", ""credacc_status_367L"": ""string"", ""credacc_transactions_402L"": ""double"", ""credamount_590A"": ""double"", ""credtype_587L"": ""string"", ""currdebt_94A"": ""double"", ""dateactivated_425D"": ""string"", ""district_544M"": ""string"", ""downpmt_134A"": ""double"", ""dtlastpmt_581D"": ""string"", ""dtlastpmtallstes_3545839D"": ""string"", ""education_1138M"": ""string"", ""employedfrom_700D"": ""string"", ""familystate_726L"": ""string"", ""firstnonzeroinstldate_307D"": ""string"", ""inittransactioncode_279L"": ""string"", ""isbidproduct_390L"": ""bool"", ""isdebitcard_527L"": ""bool"", ""mainoccupationinc_437A"": ""double"", ""maxdpdtolerance_577P"": ""double"", ""num_group1"": ""int64"", ""outstandingdebt_522A"": ""double"", ""pmtnum_8L"": ""double"", ""postype_4733339M"": ""string"", ""profession_152M"": ""string"", ""rejectreason_755M"": ""string"", ""rejectreasonclient_4145042M"": ""string"", ""revolvingaccount_394A"": ""double"", ""status_219L"": ""string"", ""tenor_203L"": ""double""}"
test_applprev_1_2.parquet,parquet_files\test\test_applprev_1_2.parquet,30289,0.03,test,applprev,1,2,feature_table,True,applprev__depth_1,10,1,41,True,False,case_id + num_group1,True,approvaldate_319D | creationdate_885D | dateactivated_425D | dtlastpmt_581D | dtlastpmtallstes_3545839D | employedfrom_700D | firstnonzeroinstldate_307D,a3c2dfd68b1be169,84e87ad3d06c29fc,"{""actualdpd_943P"": ""double"", ""annuity_853A"": ""double"", ""approvaldate_319D"": ""string"", ""byoccupationinc_3656910L"": ""double"", ""cancelreason_3545846M"": ""string"", ""case_id"": ""int64"", ""childnum_21L"": ""double"", ""creationdate_885D"": ""string"", ""credacc_actualbalance_314A"": ""double"", ""credacc_credlmt_575A"": ""double"", ""credacc_maxhisbal_375A"": ""double"", ""credacc_minhisbal_90A"": ""double"", ""credacc_status_367L"": ""string"", ""credacc_transactions_402L"": ""double"", ""credamount_590A"": ""double"", ""credtype_587L"": ""string"", ""currdebt_94A"": ""double"", ""dateactivated_425D"": ""string"", ""district_544M"": ""string"", ""downpmt_134A"": ""double"", ""dtlastpmt_581D"": ""string"", ""dtlastpmtallstes_3545839D"": ""string"", ""education_1138M"": ""string"", ""employedfrom_700D"": ""string"", ""familystate_726L"": ""string"", ""firstnonzeroinstldate_307D"": ""string"", ""inittransactioncode_279L"": ""string"", ""isbidproduct_390L"": ""bool"", ""isdebitcard_527L"": ""bool"", ""mainoccupationinc_437A"": ""double"", ""maxdpdtolerance_577P"": ""double"", ""num_group1"": ""int64"", ""outstandingdebt_522A"": ""double"", ""pmtnum_8L"": ""double"", ""postype_4733339M"": ""string"", ""profession_152M"": ""string"", ""rejectreason_755M"": ""string"", ""rejectreasonclient_4145042M"": ""string"", ""revolvingaccount_394A"": ""double"", ""status_219L"": ""string"", ""tenor_203L"": ""double""}"
test_applprev_2.parquet,parquet_files\test\test_applprev_2.parquet,4687,0.0,test,applprev,2,,feature_table,False,applprev__depth_2,10,1,6,True,False,case_id + num_group1 + num_group2,True,,72c802b94af5f9f3,3a1d7db2d647fe91,"{""cacccardblochreas_147M"": ""string"", ""case_id"": ""int64"", ""conts_type_509L"": ""string"", ""credacc_cards_status_52L"": ""null"", ""num_group1"": ""int64"", ""num_group2"": ""int64""}"
test_base.parquet,parquet_files\test\test_base.parquet,3343,0.0,test,base,,,base,False,base__depth_base,10,1,4,True,False,case_id,True,MONTH | WEEK_NUM | date_decision,b2d2d3a028ad1009,3b670ec660014eac,"{""MONTH"": ""int64"", ""WEEK_NUM"": ""int64"", ""case_id"": ""int64"", ""date_decision"": ""string""}"
test_credit_bureau_a_1_0.parquet,parquet_files\test\test_credit_bureau_a_1_0.parquet,59968,0.06,test,credit_bureau_a,1,0,feature_table,True,credit_bureau_a__depth_1,10,1,79,True,False,case_id + num_group1,True,dateofcredend_289D | dateofcredend_353D | dateofcredstart_181D | dateofcredstart_739D | dateofrealrepmt_138D | lastupdate_1112D | lastupdate_388D | numberofoverdueinstlmaxdat_148D | numberofoverdueinstlmaxdat_641D | overdueamountmax2date_1002D | overdueamountmax2date_1142D | refreshdate_3813885D,ee36115b60cca798,a5d90a0e3c7207a0,"{""annualeffectiverate_199L"": ""double"", ""annualeffectiverate_63L"": ""double"", ""case_id"": ""int64"", ""classificationofcontr_13M"": ""string"", ""classificationofcontr_400M"": ""string"", ""contractst_545M"": ""string"", ""contractst_964M"": ""string"", ""contractsum_5085717L"": ""double"", ""credlmt_230A"": ""double"", ""credlmt_935A"": ""double"", ""dateofcredend_289D"": ""string"", ""dateofcredend_353D"": ""string"", ""dateofcredstart_181D"": ""string"", ""dateofcredstart_739D"": ""string"", ""dateofrealrepmt_138D"": ""string"", ""debtoutstand_525A"": ""double"", ""debtoverdue_47A"": ""double"", ""description_351M"": ""string"", ""dpdmax_139P"": ""double"", ""dpdmax_757P"": ""double"", ""dpdmaxdatemonth_442T"": ""double"", ""dpdmaxdatemonth_89T"": ""double"", ""dpdmaxdateyear_596T"": ""double"", ""dpdmaxdateyear_896T"": ""double"", ""financialinstitution_382M"": ""string"", ""financialinstitution_591M"": ""string"", ""instlamount_768A"": ""double"", ""instlamount_852A"": ""double"", ""interestrate_508L"": ""double"", ""lastupdate_1112D"": ""string"", ""lastupdate_388D"": ""string"", ""monthlyinstlamount_332A"": ""double"", ""monthlyinstlamount_674A"": ""double"", ""nominalrate_281L"": ""double"", ""nominalrate_498L"": ""double"", ""num_group1"": ""int64"", ""numberofcontrsvalue_258L"": ""double"", ""numberofcontrsvalue_358L"": ""double"", ""numberofinstls_229L"": ""double"", ""numberofinstls_320L"": ""double"", ""numberofoutstandinstls_520L"": ""double"", ""numberofoutstandinstls_59L"": ""double"", ""numberofoverdueinstlmax_1039L"": ""double"", ""numberofoverdueinstlmax_1151L"": ""double"", ""numberofoverdueinstlmaxdat_148D"": ""string"", ""numberofoverdueinstlmaxdat_641D"": ""null"", ""numberofoverdueinstls_725L"": ""double"", ""numberofoverdueinstls_834L"": ""double"", ""outstandingamount_354A"": ""double"", ""outstandingamount_362A"": ""double"", ""overdueamount_31A"": ""double"", ""overdueamount_659A"": ""double"", ""overdueamountmax2_14A"": ""double"", ""overdueamountmax2_398A"": ""double"", ""overdueamountmax2date_1002D"": ""string"", ""overdueamountmax2date_1142D"": ""null"", ""overdueamountmax_155A"": ""double"", ""overdueamountmax_35A"": ""double"", ""overdueamountmaxdatemonth_284T"": ""double"", ""overdueamountmaxdatemonth_365T"": ""double"", ""overdueamountmaxdateyear_2T"": ""double"", ""overdueamountmaxdateyear_994T"": ""double"", ""periodicityofpmts_1102L"": ""double"", ""periodicityofpmts_837L"": ""double"", ""prolongationcount_1120L"": ""double"", ""prolongationcount_599L"": ""double"", ""purposeofcred_426M"": ""string"", ""purposeofcred_874M"": ""string"", ""refreshdate_3813885D"": ""string"", ""residualamount_488A"": ""double"", ""residualamount_856A"": ""double"", ""subjectrole_182M"": ""string"", ""subjectrole_93M"": ""string"", ""totalamount_6A"": ""double"", ""totalamount_996A"": ""double"", ""totaldebtoverduevalue_178A"": ""double"", ""totaldebtoverduevalue_718A"": ""double"", ""totaloutstanddebtvalue_39A"": ""double"", ""totaloutstanddebtvalue_668A"": ""double""}"
test_credit_bureau_a_1_1.parquet,parquet_files\test\test_credit_bureau_a_1_1.parquet,60903,0.06,test,credit_bureau_a,1,1,feature_table,True,credit_bureau_a__depth_1,10,1,79,True,False,case_id + num_group1,True,dateofcredend_289D | dateofcredend_353D | dateofcredstart_181D | dateofcredstart_739D | dateofrealrepmt_138D | lastupdate_1112D | lastupdate_388D | numberofoverdueinstlmaxdat_148D | numberofoverdueinstlmaxdat_641D | overdueamountmax2date_1002D | overdueamountmax2date_1142D | refreshdate_3813885D,ee36115b60cca798,a5d90a0e3c7207a0,"{""annualeffectiverate_199L"": ""double"", ""annualeffectiverate_63L"": ""double"", ""case_id"": ""int64"", ""classificationofcontr_13M"": ""string"", ""classificationofcontr_400M"": ""string"", ""contractst_545M"": ""string"", ""contractst_964M"": ""string"", ""contractsum_5085717L"": ""double"", ""credlmt_230A"": ""double"", ""credlmt_935A"": ""double"", ""dateofcredend_289D"": ""string"", ""dateofcredend_353D"": ""string"", ""dateofcredstart_181D"": ""string"", ""dateofcredstart_739D"": ""string"", ""dateofrealrepmt_138D"": ""string"", ""debtoutstand_525A"": ""double"", ""debtoverdue_47A"": ""double"", ""description_351M"": ""string"", ""dpdmax_139P"": ""double"", ""dpdmax_757P"": ""double"", ""dpdmaxdatemonth_442T"": ""double"", ""dpdmaxdatemonth_89T"": ""double"", ""dpdmaxdateyear_596T"": ""double"", ""dpdmaxdateyear_896T"": ""double"", ""financialinstitution_382M"": ""string"", ""financialinstitution_591M"": ""string"", ""instlamount_768A"": ""double"", ""instlamount_852A"": ""double"", ""interestrate_508L"": ""double"", ""lastupdate_1112D"": ""string"", ""lastupdate_388D"": ""string"", ""monthlyinstlamount_332A"": ""double"", ""monthlyinstlamount_674A"": ""double"", ""nominalrate_281L"": ""double"", ""nominalrate_498L"": ""double"", ""num_group1"": ""int64"", ""numberofcontrsvalue_258L"": ""double"", ""numberofcontrsvalue_358L"": ""double"", ""numberofinstls_229L"": ""double"", ""numberofinstls_320L"": ""double"", ""numberofoutstandinstls_520L"": ""double"", ""numberofoutstandinstls_59L"": ""double"", ""numberofoverdueinstlmax_1039L"": ""double"", ""numberofoverdueinstlmax_1151L"": ""double"", ""numberofoverdueinstlmaxdat_148D"": ""string"", ""numberofoverdueinstlmaxdat_641D"": ""null"", ""numberofoverdueinstls_725L"": ""double"", ""numberofoverdueinstls_834L"": ""double"", ""outstandingamount_354A"": ""double"", ""outstandingamount_362A"": ""double"", ""overdueamount_31A"": ""double"", ""overdueamount_659A"": ""double"", ""overdueamountmax2_14A"": ""double"", ""overdueamountmax2_398A"": ""double"", ""overdueamountmax2date_1002D"": ""string"", ""overdueamountmax2date_1142D"": ""null"", ""overdueamountmax_155A"": ""double"", ""overdueamountmax_35A"": ""double"", ""overdueamountmaxdatemonth_284T"": ""double"", ""overdueamountmaxdatemonth_365T"": ""double"", ""overdueamountmaxdateyear_2T"": ""double"", ""overdueamountmaxdateyear_994T"": ""double"", ""periodicityofpmts_1102L"": ""double"", ""periodicityofpmts_837L"": ""double"", ""prolongationcount_1120L"": ""double"", ""prolongationcount_599L"": ""double"", ""purposeofcred_426M"": ""string"", ""purposeofcred_874M"": ""string"", ""refreshdate_3813885D"": ""string"", ""residualamount_488A"": ""double"", ""residualamount_856A"": ""double"", ""subjectrole_182M"": ""string"", ""subjectrole_93M"": ""string"", ""totalamount_6A"": ""double"", ""totalamount_996A"": ""double"", ""totaldebtoverduevalue_178A"": ""double"", ""totaldebtoverduevalue_718A"": ""double"", ""totaloutstanddebtvalue_39A"": ""double"", ""totaloutstanddebtvalue_668A"": ""double""}"
test_credit_bureau_a_1_2.parquet,parquet_files\test\test_credit_bureau_a_1_2.parquet,60300,0.06,test,credit_bureau_a,1,2,feature_table,True,credit_bureau_a__depth_1,10,1,79,True,False,case_id + num_group1,True,dateofcredend_289D | dateofcredend_353D | dateofcredstart_181D | dateofcredstart_739D | dateofrealrepmt_138D | lastupdate_1112D | lastupdate_388D | numberofoverdueinstlmaxdat_148D | numberofoverdueinstlmaxdat_641D | overdueamountmax2date_1002D | overdueamountmax2date_1142D | refreshdate_3813885D,ee36115b60cca798,6ddf9b9647b367e1,"{""annualeffectiverate_199L"": ""double"", ""annualeffectiverate_63L"": ""double"", ""case_id"": ""int64"", ""classificationofcontr_13M"": ""string"", ""classificationofcontr_400M"": ""string"", ""contractst_545M"": ""string"", ""contractst_964M"": ""string"", ""contractsum_5085717L"": ""double"", ""credlmt_230A"": ""double"", ""credlmt_935A"": ""double"", ""dateofcredend_289D"": ""string"", ""dateofcredend_353D"": ""string"", ""dateofcredstart_181D"": ""string"", ""dateofcredstart_739D"": ""string"", ""dateofrealrepmt_138D"": ""string"", ""debtoutstand_525A"": ""double"", ""debtoverdue_47A"": ""double"", ""description_351M"": ""string"", ""dpdmax_139P"": ""double"", ""dpdmax_757P"": ""double"", ""dpdmaxdatemonth_442T"": ""double"", ""dpdmaxdatemonth_89T"": ""double"", ""dpdmaxdateyear_596T"": ""double"", ""dpdmaxdateyear_896T"": ""double"", ""financialinstitution_382M"": ""string"", ""financialinstitution_591M"": ""string"", ""instlamount_768A"": ""double"", ""instlamount_852A"": ""double"", ""interestrate_508L"": ""double"", ""lastupdate_1112D"": ""string"", ""lastupdate_388D"": ""string"", ""monthlyinstlamount_332A"": ""double"", ""monthlyinstlamount_674A"": ""double"", ""nominalrate_281L"": ""double"", ""nominalrate_498L"": ""double"", ""num_group1"": ""int64"", ""numberofcontrsvalue_258L"": ""double"", ""numberofcontrsvalue_358L"": ""double"", ""numberofinstls_229L"": ""double"", ""numberofinstls_320L"": ""double"", ""numberofoutstandinstls_520L"": ""double"", ""numberofoutstandinstls_59L"": ""double"", ""numberofoverdueinstlmax_1039L"": ""double"", ""numberofoverdueinstlmax_1151L"": ""double"", ""numberofoverdueinstlmaxdat_148D"": ""null"", ""numberofoverdueinstlmaxdat_641D"": ""null"", ""numberofoverdueinstls_725L"": ""double"", ""numberofoverdueinstls_834L"": ""double"", ""outstandingamount_354A"": ""double"", ""outstandingamount_362A"": ""double"", ""overdueamount_31A"": ""double"", ""overdueamount_659A"": ""double"", ""overdueamountmax2_14A"": ""double"", ""overdueamountmax2_398A"": ""double"", ""overdueamountmax2date_1002D"": ""null"", ""overdueamountmax2date_1142D"": ""null"", ""overdueamountmax_155A"": ""double"", ""overdueamountmax_35A"": ""double"", ""overdueamountmaxdatemonth_284T"": ""double"", ""overdueamountmaxdatemonth_365T"": ""double"", ""overdueamountmaxdateyear_2T"": ""double"", ""overdueamountmaxdateyear_994T"": ""double"", ""periodicityofpmts_1102L"": ""double"", ""periodicityofpmts_837L"": ""double"", ""prolongationcount_1120L"": ""double"", ""prolongationcount_599L"": ""double"", ""purposeofcred_426M"": ""string"", ""purposeofcred_874M"": ""string"", ""refreshdate_3813885D"": ""string"", ""residualamount_488A"": ""double"", ""residualamount_856A"": ""double"", ""subjectrole_182M"": ""string"", ""subjectrole_93M"": ""string"", ""totalamount_6A"": ""double"", ""totalamount_996A"": ""double"", ""totaldebtoverduevalue_178A"": ""double"", ""totaldebtoverduevalue_718A"": ""double"", ""totaloutstanddebtvalue_39A"": ""double"", ""totaloutstanddebtvalue_668A"": ""double""}"
test_credit_bureau_a_1_3.parquet,parquet_files\test\test_credit_bureau_a_1_3.parquet,61325,0.06,test,credit_bureau_a,1,3,feature_table,True,credit_bureau_a__depth_1,10,1,79,True,False,case_id + num_group1,True,dateofcredend_289D | dateofcredend_353D | dateofcredstart_181D | dateofcredstart_739D | dateofrealrepmt_138D | lastupdate_1112D | lastupdate_388D | numberofoverdueinstlmaxdat_148D | numberofoverdueinstlmaxdat_641D | overdueamountmax2date_1002D | overdueamountmax2date_1142D | refreshdate_3813885D,ee36115b60cca798,9c878cb3b9eeab89,"{""annualeffectiverate_199L"": ""double"", ""annualeffectiverate_63L"": ""double"", ""case_id"": ""int64"", ""classificationofcontr_13M"": ""string"", ""classificationofcontr_400M"": ""string"", ""contractst_545M"": ""string"", ""contractst_964M"": ""string"", ""contractsum_5085717L"": ""double"", ""credlmt_230A"": ""double"", ""credlmt_935A"": ""double"", ""dateofcredend_289D"": ""string"", ""dateofcredend_353D"": ""string"", ""dateofcredstart_181D"": ""string"", ""dateofcredstart_739D"": ""string"", ""dateofrealrepmt_138D"": ""string"", ""debtoutstand_525A"": ""double"", ""debtoverdue_47A"": ""double"", ""description_351M"": ""string"", ""dpdmax_139P"": ""double"", ""dpdmax_757P"": ""double"", ""dpdmaxdatemonth_442T"": ""double"", ""dpdmaxdatemonth_89T"": ""double"", ""dpdmaxdateyear_596T"": ""double"", ""dpdmaxdateyear_896T"": ""double"", ""financialinstitution_382M"": ""string"", ""financialinstitution_591M"": ""string"", ""instlamount_768A"": ""double"", ""instlamount_852A"": ""double"", ""interestrate_508L"": ""double"", ""lastupdate_1112D"": ""string"", ""lastupdate_388D"": ""string"", ""monthlyinstlamount_332A"": ""double"", ""monthlyinstlamount_674A"": ""double"", ""nominalrate_281L"": ""double"", ""nominalrate_498L"": ""double"", ""num_group1"": ""double"", ""numberofcontrsvalue_258L"": ""double"", ""numberofcontrsvalue_358L"": ""double"", ""numberofinstls_229L"": ""double"", ""numberofinstls_320L"": ""double"", ""numberofoutstandinstls_520L"": ""double"", ""numberofoutstandinstls_59L"": ""double"", ""numberofoverdueinstlmax_1039L"": ""double"", ""numberofoverdueinstlmax_1151L"": ""double"", ""numberofoverdueinstlmaxdat_148D"": ""string"", ""numberofoverdueinstlmaxdat_641D"": ""null"", ""numberofoverdueinstls_725L"": ""double"", ""numberofoverdueinstls_834L"": ""double"", ""outstandingamount_354A"": ""double"", ""outstandingamount_362A"": ""double"", ""overdueamount_31A"": ""double"", ""overdueamount_659A"": ""double"", ""overdueamountmax2_14A"": ""double"", ""overdueamountmax2_398A"": ""double"", ""overdueamountmax2date_1002D"": ""string"", ""overdueamountmax2date_1142D"": ""null"", ""overdueamountmax_155A"": ""double"", ""overdueamountmax_35A"": ""double"", ""overdueamountmaxdatemonth_284T"": ""double"", ""overdueamountmaxdatemonth_365T"": ""double"", ""overdueamountmaxdateyear_2T"": ""double"", ""overdueamountmaxdateyear_994T"": ""double"", ""periodicityofpmts_1102L"": ""double"", ""periodicityofpmts_837L"": ""double"", ""prolongationcount_1120L"": ""double"", ""prolongationcount_599L"": ""double"", ""purposeofcred_426M"": ""string"", ""purposeofcred_874M"": ""string"", ""refreshdate_3813885D"": ""string"", ""residualamount_488A"": ""double"", ""residualamount_856A"": ""double"", ""subjectrole_182M"": ""string"", ""subjectrole_93M"": ""string"", ""totalamount_6A"": ""double"", ""totalamount_996A"": ""double"", ""totaldebtoverduevalue_178A"": ""double"", ""totaldebtoverduevalue_718A"": ""double"", ""totaloutstanddebtvalue_39A"": ""double"", ""totaloutstanddebtvalue_668A"": ""double""}"
test_credit_bureau_a_1_4.parquet,parquet_files\test\test_credit_bureau_a_1_4.parquet,60115,0.06,test,credit_bureau_a,1,4,feature_table,True,credit_bureau_a__depth_1,10,1,79,True,False,case_id + num_group1,True,dateofcredend_289D | dateofcredend_353D | dateofcredstart_181D | dateofcredstart_739D | dateofrealrepmt_138D | lastupdate_1112D | lastupdate_388D | numberofoverdueinstlmaxdat_148D | numberofoverdueinstlmaxdat_641D | overdueamountmax2date_1002D | overdueamountmax2date_1142D | refreshdate_3813885D,ee36115b60cca798,1a125200afc5e523,"{""annualeffectiverate_199L"": ""double"", ""annualeffectiverate_63L"": ""double"", ""case_id"": ""int64"", ""classificationofcontr_13M"": ""string"", ""classificationofcontr_400M"": ""string"", ""contractst_545M"": ""string"", ""contractst_964M"": ""string"", ""contractsum_5085717L"": ""double"", ""credlmt_230A"": ""double"", ""credlmt_935A"": ""double"", ""dateofcredend_289D"": ""string"", ""dateofcredend_353D"": ""string"", ""dateofcredstart_181D"": ""string"", ""dateofcredstart_739D"": ""string"", ""dateofrealrepmt_138D"": ""string"", ""debtoutstand_525A"": ""double"", ""debtoverdue_47A"": ""double"", ""description_351M"": ""string"", ""dpdmax_139P"": ""double"", ""dpdmax_757P"": ""double"", ""dpdmaxdatemonth_442T"": ""double"", ""dpdmaxdatemonth_89T"": ""double"", ""dpdmaxdateyear_596T"": ""double"", ""dpdmaxdateyear_896T"": ""double"", ""financialinstitution_382M"": ""string"", ""financialinstitution_591M"": ""string"", ""instlamount_768A"": ""double"", ""instlamount_852A"": ""double"", ""interestrate_508L"": ""double"", ""lastupdate_1112D"": ""string"", ""lastupdate_388D"": ""string"", ""monthlyinstlamount_332A"": ""double"", ""monthlyinstlamount_674A"": ""double"", ""nominalrate_281L"": ""double"", ""nominalrate_498L"": ""double"", ""num_group1"": ""int64"", ""numberofcontrsvalue_258L"": ""double"", ""numberofcontrsvalue_358L"": ""double"", ""numberofinstls_229L"": ""double"", ""numberofinstls_320L"": ""double"", ""numberofoutstandinstls_520L"": ""double"", ""numberofoutstandinstls_59L"": ""double"", ""numberofoverdueinstlmax_1039L"": ""double"", ""numberofoverdueinstlmax_1151L"": ""double"", ""numberofoverdueinstlmaxdat_148D"": ""string"", ""numberofoverdueinstlmaxdat_641D"": ""string"", ""numberofoverdueinstls_725L"": ""double"", ""numberofoverdueinstls_834L"": ""double"", ""outstandingamount_354A"": ""double"", ""outstandingamount_362A"": ""double"", ""overdueamount_31A"": ""double"", ""overdueamount_659A"": ""double"", ""overdueamountmax2_14A"": ""double"", ""overdueamountmax2_398A"": ""double"", ""overdueamountmax2date_1002D"": ""string"", ""overdueamountmax2date_1142D"": ""string"", ""overdueamountmax_155A"": ""double"", ""overdueamountmax_35A"": ""double"", ""overdueamountmaxdatemonth_284T"": ""double"", ""overdueamountmaxdatemonth_365T"": ""double"", ""overdueamountmaxdateyear_2T"": ""double"", ""overdueamountmaxdateyear_994T"": ""double"", ""periodicityofpmts_1102L"": ""double"", ""periodicityofpmts_837L"": ""double"", ""prolongationcount_1120L"": ""double"", ""prolongationcount_599L"": ""double"", ""purposeofcred_426M"": ""string"", ""purposeofcred_874M"": ""string"", ""refreshdate_3813885D"": ""string"", ""residualamount_488A"": ""double"", ""residualamount_856A"": ""double"", ""subjectrole_182M"": ""string"", ""subjectrole_93M"": ""string"", ""totalamount_6A"": ""double"", ""totalamount_996A"": ""double"", ""totaldebtoverduevalue_178A"": ""double"", ""totaldebtoverduevalue_718A"": ""double"", ""totaloutstanddebtvalue_39A"": ""double"", ""totaloutstanddebtvalue_668A"": ""double""}"
